SKUs;qty;EcoTaxe;AMZ_BE;AMZ_BE_PrixPromo;AMZ_BE_DateDebut;AMZ_BE_DateFin;AMZ_DE;AMZ_DE_PrixPromo;AMZ_DE_DateDebut;AMZ_DE_DateFin;AMZ_ES;AMZ_ES_PrixPromo;AMZ_ES_DateDebut;AMZ_ES_DateFin;AMZ_FR;AMZ_FR_PrixPromo;AMZ_FR_DateDebut;AMZ_FR_DateFin;AMZ_IT;AMZ_IT_PrixPromo;AMZ_IT_DateDebut;AMZ_IT_DateFin;AMZ_Prime;AMZ_Prime_PrixPromo;AMZ_Prime_DateDebut;AMZ_Prime_DateFin;Cdiscount;Cdiscount_PrixPromo;Cdiscount_DateDebut;Cdiscount_DateFin;Cdiscount_FF;Cdiscount_FF_PrixPromo;Cdiscount_FF_DateDebut;Cdiscount_FF_DateFin;LeroyMerlin;LeroyMerlin_PrixPromo;LeroyMerlin_DateDebut;LeroyMerlin_DateFin;LeroyMerlin_FF;LeroyMerlin_FF_PrixPromo;LeroyMerlin_FF_DateDebut;LeroyMerlin_FF_DateFin;Mano_DE;Mano_DE_PrixPromo;Mano_DE_DateDebut;Mano_DE_DateFin;Mano_DE_FF;Mano_DE_FF_PrixPromo;Mano_DE_FF_DateDebut;Mano_DE_FF_DateFin;Mano_ES;Mano_ES_PrixPromo;Mano_ES_DateDebut;Mano_ES_DateFin;Mano_ES_FF;Mano_ES_FF_PrixPromo;Mano_ES_FF_DateDebut;Mano_ES_FF_DateFin;Mano_FR;Mano_FR_PrixPromo;Mano_FR_DateDebut;Mano_FR_DateFin;Mano_FR_FF;Mano_FR_FF_PrixPromo;Mano_FR_FF_DateDebut;Mano_FR_FF_DateFin;Mano_IT;Mano_IT_PrixPromo;Mano_IT_DateDebut;Mano_IT_DateFin;Mano_IT_FF;Mano_IT_FF_PrixPromo;Mano_IT_FF_DateDebut;Mano_IT_FF_DateFin;Mano_Pro;Mano_Pro_PrixPromo;Mano_Pro_DateDebut;Mano_Pro_DateFin;Mano_Pro_FF;Mano_Pro_FF_PrixPromo;Mano_Pro_FF_DateDebut;Mano_Pro_FF_DateFin;Autres;Autres_PrixPromo;Autres_DateDebut;Autres_DateFin;PxReference;Mano_Qte_1;Mano_Rmz_Qte_1;Mano_Qte_2;Mano_Rmz_Qte_2;Mano_Qte_3;Mano_Rmz_Qte_3;Cdiscount_CategoryCode;Cdiscount_Frais_BigParcelEco
149;25;0.51;25.99;0;;;25.99;0;;;25.99;0;;;25.99;0;;;25.99;0;;;33.81;0;;;25.99;0;;;0;0;;;25.99;0;;;25.99;0;;;25.99;0;;;0;0;;;25.99;0;;;0;0;;;25.99;0;;;0;0;;;25.99;0;;;0;0;;;25.21;0;;;0;0;;;25.99;0;;;29.11;0;0;0;0;0;0;0H0I2801;
163;46;0.65;22.99;0;;;22.99;0;;;22.99;0;;;22.99;0;;;22.99;0;;;30.81;0;;;22.99;0;;;0;0;;;22.99;0;;;22.99;0;;;22.99;0;;;0;0;;;22.99;0;;;0;0;;;22.99;0;;;0;0;;;22.99;0;;;0;0;;;22.3;0;;;0;0;;;22.99;0;;;25.75;0;0;0;0;0;0;0D080301;
183;21;0;17.99;0;;;17.99;0;;;17.99;0;;;17.99;0;;;17.99;0;;;25.81;0;;;17.99;0;;;0;0;;;17.99;0;;;17.99;0;;;17.99;0;;;0;0;;;17.99;0;;;0;0;;;17.99;0;;;0;0;;;17.99;0;;;0;0;;;17.45;0;;;0;0;;;17.99;0;;;17.81;0;0;0;0;0;0;;
189;57;0;11.99;0;;;11.99;0;;;11.99;0;;;11.99;0;;;11.99;0;;;19.66;0;;;11.99;0;;;0;0;;;11.99;0;;;11.99;0;;;11.99;0;;;16.99;0;;;11.99;0;;;16.99;0;;;11.99;0;;;16.99;0;;;11.99;0;;;16.99;0;;;11.63;0;;;16.48;0;;;11.99;0;;;13.43;0;0;0;0;0;0;0S093V01;
190;31;0;14.79;0;;;14.79;0;;;14.79;0;;;14.79;0;;;14.79;0;;;22.46;0;;;14.79;0;;;0;0;;;14.79;0;;;14.79;0;;;14.79;0;;;0;0;;;14.79;0;;;0;0;;;14.79;0;;;0;0;;;14.79;0;;;0;0;;;14.35;0;;;0;0;;;14.79;0;;;16.56;0;0;0;0;0;0;0S093V01;
195;52;0;4.99;0;;;4.99;0;;;4.99;0;;;4.99;0;;;4.99;0;;;12.66;0;;;4.99;0;;;0;0;;;4.99;0;;;4.99;0;;;4.99;0;;;0;0;;;4.99;0;;;0;0;;;4.99;0;;;0;0;;;4.99;0;;;0;0;;;4.84;0;;;0;0;;;4.99;0;;;5.59;0;0;0;0;0;0;0S093V01;
196;35;0;4.99;0;;;4.99;0;;;4.99;0;;;4.99;0;;;4.99;0;;;12.66;0;;;4.99;0;;;0;0;;;4.99;0;;;4.99;0;;;4.99;0;;;0;0;;;4.99;0;;;0;0;;;4.99;0;;;0;0;;;4.99;0;;;0;0;;;4.84;0;;;0;0;;;4.99;0;;;5.59;0;0;0;0;0;0;0S093V01;
273;30;0;54.99;46.74;2025-07-01;2025-07-28;54.99;46.74;2025-07-01;2025-07-28;54.99;46.74;2025-07-01;2025-07-28;54.99;46.74;2025-06-25;2025-07-22;54.99;46.74;2025-07-01;2025-07-28;63.75;55.67;2025-06-25;2025-07-22;54.99;46.74;2025-06-25;2025-07-22;0;0;;;54.99;46.74;2025-06-25;2025-07-22;54.99;0;;;54.99;46.74;2025-07-01;2025-07-28;0;0;;;54.99;46.74;2025-07-01;2025-07-28;0;0;;;54.99;46.74;2025-06-25;2025-07-22;0;0;;;54.99;46.74;2025-07-01;2025-07-28;0;0;;;53.34;45.34;2025-06-25;2025-07-22;0;0;;;54.99;46.74;2025-06-25;2025-07-22;61.58;0;0;0;0;0;0;0E020L01;
291;7;0;9.99;0;;;9.99;0;;;9.99;0;;;9.99;0;;;9.99;0;;;17.66;0;;;9.99;0;;;0;0;;;9.99;0;;;9.99;0;;;9.99;0;;;0;0;;;9.99;0;;;0;0;;;9.99;0;;;0;0;;;9.99;0;;;0;0;;;9.69;0;;;0;0;;;9.99;0;;;11.18;0;0;0;0;0;0;0H0B0R01;
298;37;0.32;28.95;0;;;28.95;0;;;28.95;0;;;28.95;0;;;28.95;0;;;36.62;0;;;28.95;0;;;0;0;;;28.95;0;;;28.95;0;;;28.95;0;;;0;0;;;28.95;0;;;0;0;;;28.95;0;;;0;0;;;28.95;0;;;0;0;;;28.08;0;;;0;0;;;28.95;0;;;33.56;0;0;0;0;0;0;0D081N01;
324;30;0.49;26.99;0;;;26.99;0;;;26.99;0;;;26.99;0;;;26.99;0;;;34.66;0;;;26.99;0;;;0;0;;;26.99;0;;;26.99;0;;;26.99;0;;;0;0;;;26.99;0;;;0;0;;;26.99;0;;;0;0;;;26.99;0;;;0;0;;;26.18;0;;;0;0;;;26.99;0;;;30.83;0;0;0;0;0;0;0D080A01;
326;37;0.65;10.99;0;;;10.99;0;;;10.99;0;;;10.99;0;;;10.99;0;;;18.66;0;;;10.99;0;;;16.29;0;;;10.99;0;;;10.99;0;;;10.99;0;;;16.99;0;;;10.99;0;;;16.99;0;;;10.99;0;;;16.99;0;;;10.99;0;;;16.99;0;;;10.66;0;;;16.48;0;;;10.99;0;;;12.31;0;0;0;0;0;0;0D081R01;
