SKUs;qty;EcoTaxe;AMZ_BE;AMZ_BE_PrixPromo;AMZ_BE_DateDebut;AMZ_BE_DateFin;AMZ_DE;AMZ_DE_PrixPromo;AMZ_DE_DateDebut;AMZ_DE_DateFin;AMZ_ES;AMZ_ES_PrixPromo;AMZ_ES_DateDebut;AMZ_ES_DateFin;AMZ_FR;AMZ_FR_PrixPromo;AMZ_FR_DateDebut;AMZ_FR_DateFin;AMZ_IT;AMZ_IT_PrixPromo;AMZ_IT_DateDebut;AMZ_IT_DateFin;AMZ_Prime;AMZ_Prime_PrixPromo;AMZ_Prime_DateDebut;AMZ_Prime_DateFin;Cdiscount;Cdiscount_PrixPromo;Cdiscount_DateDebut;Cdiscount_DateFin;Cdiscount_FF;Cdiscount_FF_PrixPromo;Cdiscount_FF_DateDebut;Cdiscount_FF_DateFin;LeroyMerlin;LeroyMerlin_PrixPromo;LeroyMerlin_DateDebut;LeroyMerlin_DateFin;LeroyMerlin_FF;LeroyMerlin_FF_PrixPromo;LeroyMerlin_FF_DateDebut;LeroyMerlin_FF_DateFin;Mano_DE;Mano_DE_PrixPromo;Mano_DE_DateDebut;Mano_DE_DateFin;Mano_DE_FF;Mano_DE_FF_PrixPromo;Mano_DE_FF_DateDebut;Mano_DE_FF_DateFin;Mano_ES;Mano_ES_PrixPromo;Mano_ES_DateDebut;Mano_ES_DateFin;Mano_ES_FF;Mano_ES_FF_PrixPromo;Mano_ES_FF_DateDebut;Mano_ES_FF_DateFin;Mano_FR;Mano_FR_PrixPromo;Mano_FR_DateDebut;Mano_FR_DateFin;Mano_FR_FF;Mano_FR_FF_PrixPromo;Mano_FR_FF_DateDebut;Mano_FR_FF_DateFin;Mano_IT;Mano_IT_PrixPromo;Mano_IT_DateDebut;Mano_IT_DateFin;Mano_IT_FF;Mano_IT_FF_PrixPromo;Mano_IT_FF_DateDebut;Mano_IT_FF_DateFin;Mano_Pro;Mano_Pro_PrixPromo;Mano_Pro_DateDebut;Mano_Pro_DateFin;Mano_Pro_FF;Mano_Pro_FF_PrixPromo;Mano_Pro_FF_DateDebut;Mano_Pro_FF_DateFin;Autres;Autres_PrixPromo;Autres_DateDebut;Autres_DateFin;PxReference;Mano_Qte_1;Mano_Rmz_Qte_1;Mano_Qte_2;Mano_Rmz_Qte_2;Mano_Qte_3;Mano_Rmz_Qte_3;Cdiscount_CategoryCode;Cdiscount_Frais_BigParcelEco
7584;2;0;15.99;0;;;15.99;0;;;15.99;0;;;15.99;0;;;15.99;0;;;23.81;0;;;15.99;0;;;0;0;;;15.99;0;;;15.99;0;;;15.99;0;;;0;0;;;15.99;0;;;0;0;;;15.99;0;;;0;0;;;15.99;0;;;0;0;;;15.51;0;;;0;0;;;15.99;0;;;17.9;0;0;0;0;0;0;0S030N01;
7585;10;0;128.9;0;;;128.9;0;;;128.9;0;;;128.9;0;;;128.9;0;;;138.2;0;;;128.9;0;;;0;0;;;128.9;0;;;128.9;0;;;128.9;0;;;132.99;0;;;128.9;0;;;132.99;0;;;128.9;0;;;132.99;0;;;128.9;0;;;132.99;0;;;125.03;0;;;129;0;;;128.9;0;;;144.37;0;0;0;0;0;0;0S030301;
7586;9;1.73;67.9;0;;;67.9;0;;;67.9;0;;;67.9;0;;;67.9;0;;;77.75;0;;;67.9;0;;;0;0;;;67.9;0;;;67.9;0;;;67.9;0;;;0;0;;;67.9;0;;;0;0;;;67.9;0;;;0;0;;;67.9;0;;;0;0;;;65.86;0;;;0;0;;;67.9;0;;;76.04;0;0;0;0;0;0;0S030301;
7587;14;1.73;47.9;0;;;47.9;0;;;47.9;0;;;47.9;0;;;47.9;0;;;56.66;0;;;47.9;0;;;0;0;;;47.9;0;;;47.9;0;;;47.9;0;;;49.99;0;;;47.9;0;;;49.99;0;;;47.9;0;;;49.99;0;;;47.9;0;;;49.99;0;;;46.46;0;;;48.49;0;;;47.9;0;;;53.65;0;0;0;0;0;0;0S030301;
7588;4;1.73;92.9;0;;;92.9;0;;;92.9;0;;;92.9;0;;;92.9;0;;;105.11;0;;;92.9;0;;;0;0;;;92.9;0;;;92.9;0;;;92.9;0;;;0;0;;;92.9;0;;;0;0;;;92.9;0;;;0;0;;;92.9;0;;;0;0;;;90.11;0;;;0;0;;;92.9;0;;;104.05;0;0;0;0;0;0;0S030301;
7590;39;0;13.39;0;;;13.39;0;;;13.39;0;;;13.39;0;;;13.39;0;;;21.06;0;;;13.99;0;;;0;0;;;13.99;0;;;13.99;0;;;13.99;0;;;17.99;0;;;13.99;0;;;17.99;0;;;13.99;0;;;17.99;0;;;13.99;0;;;17.99;0;;;13.57;0;;;17.45;0;;;13.99;0;;;15;0;0;0;0;0;0;0U060901;
7663;40;0;3.59;0;;;3.59;0;;;3.59;0;;;3.59;0;;;3.59;0;;;11.26;0;;;3.59;0;;;0;0;;;3.59;0;;;3.59;0;;;3.59;0;;;0;0;;;3.59;0;;;0;0;;;3.59;0;;;0;0;;;3.59;0;;;0;0;;;3.48;0;;;0;0;;;3.59;0;;;4.02;0;0;0;0;0;0;0H010H01;
7714;14;1.53;35.99;0;;;35.99;0;;;35.99;0;;;35.99;0;;;35.99;0;;;43.81;0;;;35.99;0;;;0;0;;;35.99;0;;;35.99;0;;;35.99;0;;;36.99;0;;;35.99;0;;;36.99;0;;;35.99;0;;;36.99;0;;;35.99;0;;;36.99;0;;;34.91;0;;;35.88;0;;;35.99;0;;;40.31;0;0;0;0;0;0;0H070101;
7715;22;1.54;69.99;0;;;69.99;0;;;69.99;0;;;69.99;0;;;69.99;0;;;80.04;0;;;69.99;0;;;0;0;;;69.99;0;;;69.99;0;;;69.99;0;;;72.99;0;;;69.99;0;;;72.99;0;;;69.99;0;;;72.99;0;;;69.99;0;;;72.99;0;;;67.89;0;;;70.8;0;;;69.99;0;;;78.38;0;0;0;0;0;0;0H070101;
7718;51;0;8.99;0;;;8.99;0;;;8.99;0;;;8.99;0;;;8.99;0;;;16.81;0;;;8.99;0;;;0;0;;;8.99;0;;;8.99;0;;;8.99;0;;;0;0;;;8.99;0;;;0;0;;;8.99;0;;;0;0;;;8.99;0;;;0;0;;;8.72;0;;;0;0;;;8.99;0;;;10.07;0;0;0;0;0;0;1F010C01;
7719;60;0.39;11.99;0;;;11.99;0;;;11.99;0;;;11.99;0;;;11.99;0;;;19.66;0;;;11.99;0;;;0;0;;;11.99;0;;;11.99;0;;;11.99;0;;;16.49;0;;;11.99;0;;;16.49;0;;;11.99;0;;;16.49;0;;;11.99;0;;;16.49;0;;;11.63;0;;;16;0;;;11.99;0;;;13.43;0;0;0;0;0;0;1F010C01;
7720;52;0;4.59;0;;;4.59;0;;;4.59;0;;;4.59;0;;;4.59;0;;;12.41;0;;;4.59;0;;;0;0;;;4.59;0;;;4.59;0;;;4.59;0;;;0;0;;;4.59;0;;;0;0;;;4.59;0;;;0;0;;;4.59;0;;;0;0;;;4.45;0;;;0;0;;;4.59;0;;;5.14;0;0;0;0;0;0;0H070U01;
7739;0;0.5;29.99;0;;;29.99;0;;;29.99;0;;;29.99;0;;;29.99;0;;;37.66;0;;;29.99;0;;;0;0;;;29.99;0;;;29.99;0;;;29.99;0;;;0;0;;;29.99;0;;;0;0;;;29.99;0;;;0;0;;;29.99;0;;;0;0;;;29.09;0;;;0;0;;;29.99;0;;;33.59;0;0;0;0;0;0;0H010L01;
7740;8;0.5;22.99;0;;;22.99;0;;;22.99;0;;;22.99;0;;;22.99;0;;;30.66;0;;;22.99;0;;;0;0;;;22.99;0;;;22.99;0;;;22.99;0;;;0;0;;;22.99;0;;;0;0;;;22.99;0;;;0;0;;;22.99;0;;;0;0;;;22.3;0;;;0;0;;;22.99;0;;;25.75;0;0;0;0;0;0;0D010401;
7741;16;1;24.99;0;;;24.99;0;;;24.99;0;;;24.99;0;;;24.99;0;;;32.66;0;;;24.99;0;;;0;0;;;24.99;0;;;24.99;0;;;24.99;0;;;0;0;;;24.99;0;;;0;0;;;24.99;0;;;0;0;;;24.99;0;;;0;0;;;24.24;0;;;0;0;;;24.99;0;;;27.98;0;0;0;0;0;0;0D010401;
7742;28;0.02;9.99;0;;;9.99;0;;;9.99;0;;;9.99;0;;;9.99;0;;;17.66;0;;;9.99;0;;;0;0;;;9.99;0;;;9.99;0;;;9.99;0;;;0;0;;;9.99;0;;;0;0;;;9.99;0;;;0;0;;;9.99;0;;;0;0;;;9.69;0;;;0;0;;;9.99;0;;;11.18;0;0;0;0;0;0;0H040X01;
7743;49;0;2.49;0;;;2.49;0;;;2.49;0;;;2.49;0;;;2.49;0;;;10.16;0;;;2.49;0;;;0;0;;;2.49;0;;;2.49;0;;;2.49;0;;;0;0;;;2.49;0;;;0;0;;;2.49;0;;;0;0;;;2.49;0;;;0;0;;;2.42;0;;;0;0;;;2.49;0;;;2.78;0;0;0;0;0;0;0H040401;
7746;32;0.14;12.99;0;;;12.99;0;;;12.99;0;;;12.99;0;;;12.99;0;;;20.66;0;;;12.99;0;;;0;0;;;12.99;0;;;12.99;0;;;12.99;0;;;0;0;;;12.99;0;;;0;0;;;12.99;0;;;0;0;;;12.99;0;;;0;0;;;12.6;0;;;0;0;;;12.99;0;;;14.54;0;0;0;0;0;0;0H0A0E01;
7752;23;0;32.99;0;;;32.99;0;;;32.99;0;;;32.99;0;;;32.99;0;;;0;0;;;32.99;0;;;0;0;;;32.99;0;;;32.99;0;;;32.99;0;;;0;0;;;32.99;0;;;0;0;;;32.99;0;;;0;0;;;32.99;0;;;0;0;;;32;0;;;0;0;;;32.99;0;;;36.95;0;0;0;0;0;0;16060D01;
7754;7;0;36.45;0;;;36.45;0;;;36.45;0;;;36.45;0;;;36.45;0;;;44.12;0;;;36.45;0;;;0;0;;;36.45;0;;;36.45;0;;;36.45;0;;;0;0;;;36.45;0;;;0;0;;;36.45;0;;;0;0;;;36.45;0;;;0;0;;;35.36;0;;;0;0;;;36.45;0;;;40.82;0;0;0;0;0;0;0S020901;
7755;19;0;3.99;0;;;3.99;0;;;3.99;0;;;3.99;0;;;3.99;0;;;11.66;0;;;3.99;0;;;0;0;;;3.99;0;;;3.99;0;;;3.99;0;;;0;0;;;3.99;0;;;0;0;;;3.99;0;;;0;0;;;3.99;0;;;0;0;;;3.87;0;;;0;0;;;3.99;0;;;4.46;0;0;0;0;0;0;0H070S01;
7756;48;0.27;6.49;0;;;6.49;0;;;6.49;0;;;6.49;0;;;6.49;0;;;14.16;0;;;6.49;0;;;0;0;;;6.49;0;;;6.49;0;;;6.49;0;;;0;0;;;6.49;0;;;0;0;;;6.49;0;;;0;0;;;6.49;0;;;0;0;;;6.3;0;;;0;0;;;6.49;0;;;7.27;0;0;0;0;0;0;0H070S01;
7757;33;0.27;7.99;0;;;7.99;0;;;7.99;0;;;7.99;0;;;7.99;0;;;15.66;0;;;7.99;0;;;0;0;;;7.99;0;;;7.99;0;;;7.99;0;;;0;0;;;7.99;0;;;0;0;;;7.99;0;;;0;0;;;7.99;0;;;0;0;;;7.75;0;;;0;0;;;7.99;0;;;8.95;0;0;0;0;0;0;0H070S01;
7758;27;0;6.29;0;;;6.29;0;;;6.29;0;;;6.29;0;;;6.29;0;;;13.96;0;;;6.29;0;;;0;0;;;6.29;0;;;6.29;0;;;6.29;0;;;0;0;;;6.29;0;;;0;0;;;6.29;0;;;0;0;;;6.29;0;;;0;0;;;6.1;0;;;0;0;;;6.29;0;;;7.04;0;0;0;0;0;0;0H070S01;
7759;40;0.27;8.99;0;;;8.99;0;;;8.99;0;;;8.99;0;;;8.99;0;;;16.66;0;;;8.99;0;;;0;0;;;8.99;0;;;8.99;0;;;8.99;0;;;0;0;;;8.99;0;;;0;0;;;8.99;0;;;0;0;;;8.99;0;;;0;0;;;8.72;0;;;0;0;;;8.99;0;;;10.07;0;0;0;0;0;0;0H090501;
7760;27;0.27;7.99;0;;;7.99;0;;;7.99;0;;;7.99;0;;;7.99;0;;;15.66;0;;;7.99;0;;;0;0;;;7.99;0;;;7.99;0;;;7.99;0;;;0;0;;;7.99;0;;;0;0;;;7.99;0;;;0;0;;;7.99;0;;;0;0;;;7.75;0;;;0;0;;;7.99;0;;;8.95;0;0;0;0;0;0;0H090501;
7761;17;0.27;5.69;0;;;5.69;0;;;5.69;0;;;5.69;0;;;5.69;0;;;13.36;0;;;5.69;0;;;0;0;;;5.69;0;;;5.69;0;;;5.69;0;;;0;0;;;5.69;0;;;0;0;;;5.69;0;;;0;0;;;5.69;0;;;0;0;;;5.52;0;;;0;0;;;5.69;0;;;6.37;0;0;0;0;0;0;0H090501;
7762;36;0;5.99;0;;;5.99;0;;;5.99;0;;;5.99;0;;;5.99;0;;;13.66;0;;;5.99;0;;;0;0;;;5.99;0;;;5.99;0;;;5.99;0;;;0;0;;;5.99;0;;;0;0;;;5.99;0;;;0;0;;;5.99;0;;;0;0;;;5.81;0;;;0;0;;;5.99;0;;;6.71;0;0;0;0;0;0;0H090501;
7763;43;0;1.99;0;;;1.99;0;;;1.99;0;;;1.99;0;;;1.99;0;;;9.66;0;;;1.99;0;;;0;0;;;1.99;0;;;1.99;0;;;1.99;0;;;0;0;;;1.99;0;;;0;0;;;1.99;0;;;0;0;;;1.99;0;;;0;0;;;1.93;0;;;0;0;;;1.99;0;;;2.23;0;0;0;0;0;0;0H090501;
7783;1;3.78;84.95;0;;;84.95;0;;;84.95;0;;;84.95;0;;;84.95;0;;;98.166;0;;;84.95;0;;;0;0;;;84.95;0;;;84.95;0;;;84.95;0;;;0;0;;;84.95;0;;;0;0;;;84.95;0;;;0;0;;;84.95;0;;;0;0;;;82.4;0;;;0;0;;;84.95;0;;;0;0;0;0;0;0;0;010G0601;
7790;0;0.49;9.99;7.49;2025-07-01;2025-07-28;9.99;7.49;2025-07-01;2025-07-28;9.99;7.49;2025-07-01;2025-07-28;9.99;7.49;2025-06-25;2025-07-22;9.99;7.49;2025-07-01;2025-07-28;17.81;15.32;2025-06-25;2025-07-22;9.99;6.99;2025-06-25;2025-07-22;0;0;;;9.99;0;;;9.99;0;;;9.99;7.49;2025-07-01;2025-07-28;0;0;;;9.99;7.49;2025-07-01;2025-07-28;0;0;;;9.99;7.49;2025-06-25;2025-07-22;0;0;;;9.99;7.49;2025-07-01;2025-07-28;0;0;;;9.69;7.27;2025-06-25;2025-07-22;0;0;;;9.99;7.49;2025-06-25;2025-07-22;11.18;0;0;0;0;0;0;0H090901;
7791;25;0.79;9.99;7.49;2025-07-01;2025-07-28;9.99;7.49;2025-07-01;2025-07-28;9.99;7.49;2025-07-01;2025-07-28;9.99;7.49;2025-06-25;2025-07-22;9.99;7.49;2025-07-01;2025-07-28;18.36;15.86;2025-06-25;2025-07-22;9.99;7.49;2025-06-25;2025-07-22;0;0;;;9.99;8.99;2025-07-18;2025-07-21;9.99;0;;;9.99;7.49;2025-07-01;2025-07-28;0;0;;;9.99;7.49;2025-07-01;2025-07-28;0;0;;;9.99;7.49;2025-06-25;2025-07-22;0;0;;;9.99;7.49;2025-07-01;2025-07-28;0;0;;;9.69;7.27;2025-06-25;2025-07-22;0;0;;;9.99;7.49;2025-06-25;2025-07-22;11.24;0;0;0;0;0;0;0H090901;
7792;1;1.39;22.99;12.64;2025-07-01;2025-07-28;22.99;12.64;2025-07-01;2025-07-28;22.99;12.64;2025-07-01;2025-07-28;22.99;12.64;2025-06-25;2025-07-22;22.99;12.64;2025-07-01;2025-07-28;32.29;22.13;2025-06-25;2025-07-22;22.99;11.5;2025-06-25;2025-07-22;0;0;;;22.99;12.64;2025-06-25;2025-07-22;22.99;0;;;22.99;12.64;2025-07-01;2025-07-28;0;0;;;22.99;12.64;2025-07-01;2025-07-28;0;0;;;22.99;12.64;2025-06-25;2025-07-22;0;0;;;22.99;12.64;2025-07-01;2025-07-28;0;0;;;22.3;12.27;2025-06-25;2025-07-22;0;0;;;22.99;12.64;2025-06-25;2025-07-22;25.75;0;0;0;0;0;0;0H090901;
7803;1982;0.06;1.99;1.39;2025-07-01;2025-07-28;1.99;1.39;2025-07-01;2025-07-28;1.99;1.39;2025-07-01;2025-07-28;1.99;1.39;2025-06-25;2025-07-22;1.99;1.39;2025-07-01;2025-07-28;9.66;9.22;2025-06-25;2025-07-22;1.99;1.29;2025-06-25;2025-07-22;0;0;;;1.99;1.69;2025-07-18;2025-07-21;1.99;0;;;1.99;1.39;2025-07-01;2025-07-28;0;0;;;1.99;1.39;2025-07-01;2025-07-28;0;0;;;1.99;1.39;2025-06-25;2025-07-22;0;0;;;1.99;1.39;2025-07-01;2025-07-28;0;0;;;1.93;1.35;2025-06-25;2025-07-22;0;0;;;1.99;1.39;2025-06-25;2025-07-22;2.23;0;0;0;0;0;0;;
7816;55;0;2.99;0;;;2.99;0;;;2.99;0;;;2.99;0;;;2.99;0;;;10.66;0;;;2.99;0;;;0;0;;;2.99;0;;;2.99;0;;;2.99;0;;;0;0;;;2.99;0;;;0;0;;;2.99;0;;;0;0;;;2.99;0;;;0;0;;;2.9;0;;;0;0;;;2.99;0;;;3.35;0;0;0;0;0;0;0S060C01;
7845;27;0;49.99;0;;;49.99;0;;;49.99;0;;;49.99;0;;;49.99;0;;;59.29;0;;;49.99;0;;;0;0;;;49.99;0;;;49.99;0;;;49.99;0;;;0;0;;;49.99;0;;;0;0;;;49.99;0;;;0;0;;;49.99;0;;;0;0;;;48.49;0;;;0;0;;;49.99;0;;;0;0;0;0;0;0;0;;
7869;13;0.04;2.95;0;;;2.95;0;;;2.95;0;;;2.95;0;;;2.95;0;;;10.62;0;;;2.95;0;;;0;0;;;2.95;0;;;2.95;0;;;2.95;0;;;0;0;;;2.95;0;;;0;0;;;2.95;0;;;0;0;;;2.95;0;;;0;0;;;2.86;0;;;0;0;;;2.95;0;;;0;0;0;0;0;0;0;;
7923;68;0;8.75;0;;;8.75;0;;;8.75;0;;;8.75;0;;;8.75;0;;;16.42;0;;;8.75;0;;;0;0;;;8.75;0;;;8.75;0;;;8.75;0;;;0;0;;;8.75;0;;;0;0;;;8.75;0;;;0;0;;;8.75;0;;;0;0;;;8.49;0;;;0;0;;;8.75;0;;;0;0;0;0;0;0;0;;
7934;183;0;4.99;0;;;4.99;0;;;4.99;0;;;4.99;0;;;4.99;0;;;12.66;0;;;4.99;0;;;0;0;;;4.99;0;;;4.99;0;;;4.99;0;;;0;0;;;4.99;0;;;0;0;;;4.99;0;;;0;0;;;4.99;0;;;0;0;;;4.84;0;;;0;0;;;4.99;0;;;0;0;0;0;0;0;0;;
7936;131;0;4.99;0;;;4.99;0;;;4.99;0;;;4.99;0;;;4.99;0;;;12.66;0;;;4.99;0;;;0;0;;;4.99;0;;;4.99;0;;;4.99;0;;;0;0;;;4.99;0;;;0;0;;;4.99;0;;;0;0;;;4.99;0;;;0;0;;;4.84;0;;;0;0;;;4.99;0;;;0;0;0;0;0;0;0;;
7972;81;0;9.99;0;;;9.99;0;;;9.99;0;;;9.99;0;;;9.99;0;;;17.66;0;;;9.99;0;;;0;0;;;9.99;0;;;9.99;0;;;9.99;0;;;0;0;;;9.99;0;;;0;0;;;9.99;0;;;0;0;;;9.99;0;;;0;0;;;9.69;0;;;0;0;;;9.99;0;;;0;0;0;0;0;0;0;;
7983;52;0;4.99;0;;;4.99;0;;;4.99;0;;;4.99;0;;;4.99;0;;;12.66;0;;;5.49;0;;;0;0;;;4.99;0;;;4.99;0;;;4.99;0;;;0;0;;;4.99;0;;;0;0;;;4.99;0;;;0;0;;;4.99;0;;;0;0;;;4.84;0;;;0;0;;;4.99;0;;;6.14;0;0;0;0;0;0;0D0C0201;
7985;81;0;17.99;0;;;17.99;0;;;17.99;0;;;17.99;0;;;17.99;0;;;25.66;0;;;17.99;0;;;0;0;;;17.99;0;;;17.99;0;;;17.99;0;;;22.99;0;;;17.99;0;;;22.99;0;;;17.99;0;;;22.99;0;;;17.99;0;;;22.99;0;;;17.45;0;;;22.3;0;;;17.99;0;;;20.15;0;0;0;0;0;0;0D0A0H01;
7987;454;0.02;6.99;0;;;6.99;0;;;6.99;0;;;6.99;0;;;6.99;0;;;14.81;0;;;6.99;0;;;11.99;9.59;2025-06-25;2025-07-22;6.99;0;;;6.99;0;;;6.99;0;;;11.99;0;;;6.99;0;;;11.99;0;;;6.99;0;;;11.99;0;;;6.99;0;;;11.99;0;;;6.78;0;;;11.63;0;;;6.99;0;;;7.82;0;0;0;0;0;0;0D020801;
7988;1376;0.02;7.99;0;;;7.99;0;;;7.99;0;;;7.99;0;;;7.99;0;;;15.81;0;;;7.99;0;;;12.99;10.39;2025-06-25;2025-07-22;7.99;0;;;7.99;0;;;7.99;0;;;12.99;0;;;7.99;0;;;12.99;0;;;7.99;0;;;12.99;0;;;7.99;0;;;12.99;0;;;7.75;0;;;12.6;0;;;7.99;0;;;8.95;0;0;0;0;0;0;0D020801;
7989;14;0;18.99;0;;;18.99;0;;;18.99;0;;;18.99;0;;;18.99;0;;;26.66;0;;;18.99;0;;;0;0;;;18.99;0;;;18.99;0;;;18.99;0;;;0;0;;;18.99;0;;;0;0;;;18.99;0;;;0;0;;;18.99;0;;;0;0;;;18.42;0;;;0;0;;;18.99;0;;;21.26;0;0;0;0;0;0;0H081301;
7990;24;0;4.99;0;;;4.99;0;;;4.99;0;;;4.99;0;;;4.99;0;;;12.66;0;;;4.99;0;;;0;0;;;4.99;0;;;4.99;0;;;4.99;0;;;0;0;;;4.99;0;;;0;0;;;4.99;0;;;0;0;;;4.99;0;;;0;0;;;4.84;0;;;0;0;;;4.99;0;;;5.59;0;0;0;0;0;0;0H070S01;
7991;13;0.16;39.99;0;;;39.99;0;;;39.99;0;;;39.99;0;;;39.99;0;;;47.66;0;;;39.99;0;;;0;0;;;39.99;0;;;39.99;0;;;39.99;0;;;0;0;;;39.99;0;;;0;0;;;39.99;0;;;0;0;;;39.99;0;;;0;0;;;38.79;0;;;0;0;;;39.99;0;;;44.78;0;0;0;0;0;0;0H070I01;
7994;33;0;11.29;0;;;11.29;0;;;11.29;0;;;11.29;0;;;11.29;0;;;18.96;0;;;11.29;0;;;0;0;;;11.29;0;;;11.29;0;;;11.29;0;;;0;0;;;11.29;0;;;0;0;;;11.29;0;;;0;0;;;11.29;0;;;0;0;;;10.95;0;;;0;0;;;11.29;0;;;12.65;0;0;0;0;0;0;0D080O01;
7995;6;0.5;229.9;0;;;229.9;0;;;229.9;0;;;229.9;0;;;229.9;0;;;243.1;0;;;229.9;0;;;0;0;;;229.9;0;;;229.9;0;;;229.9;0;;;0;0;;;229.9;0;;;0;0;;;229.9;0;;;0;0;;;229.9;0;;;0;0;;;223;0;;;0;0;;;229.9;0;;;263.53;0;0;0;0;0;0;;
8005;59;0;5.99;0;;;5.99;0;;;5.99;0;;;5.99;0;;;5.99;0;;;13.66;0;;;5.99;0;;;0;0;;;5.99;0;;;5.99;0;;;5.99;0;;;0;0;;;5.99;0;;;0;0;;;5.99;0;;;0;0;;;5.99;0;;;0;0;;;5.81;0;;;0;0;;;5.99;0;;;6.71;0;0;0;0;0;0;0H070Y01;
8006;23;0;6.99;0;;;6.99;0;;;6.99;0;;;6.99;0;;;6.99;0;;;14.66;0;;;6.99;0;;;0;0;;;6.99;0;;;6.99;0;;;6.99;0;;;11.49;0;;;6.99;0;;;11.49;0;;;6.99;0;;;11.49;0;;;6.99;0;;;11.49;0;;;6.78;0;;;11.15;0;;;6.99;0;;;7.82;0;0;0;0;0;0;0H070Y01;
8007;98;0;13.99;0;;;13.99;0;;;13.99;0;;;13.99;0;;;13.99;0;;;21.66;0;;;13.99;0;;;0;0;;;13.99;0;;;13.99;0;;;13.99;0;;;19.79;0;;;13.99;0;;;19.79;0;;;13.99;0;;;19.79;0;;;13.99;0;;;19.79;0;;;13.57;0;;;19.2;0;;;13.99;0;;;15.67;0;0;0;0;0;0;0H070Y01;
8059;251;0.2;10.49;5.25;2025-07-01;2025-07-28;10.49;5.25;2025-07-01;2025-07-28;10.49;5.25;2025-07-01;2025-07-28;10.49;5.25;2025-06-25;2025-07-22;10.49;5.25;2025-07-01;2025-07-28;18.16;13.07;2025-06-25;2025-07-22;10.49;5.25;2025-06-25;2025-07-22;0;0;;;10.49;5.25;2025-06-25;2025-07-22;10.49;0;;;10.49;5.25;2025-07-01;2025-07-28;0;0;;;10.49;5.25;2025-07-01;2025-07-28;0;0;;;10.49;5.25;2025-06-25;2025-07-22;0;0;;;10.49;5.25;2025-07-01;2025-07-28;0;0;;;10.18;5.09;2025-06-25;2025-07-22;0;0;;;10.49;5.25;2025-06-25;2025-07-22;11.75;0;0;0;0;0;0;0D020801;
8072;25;0;7.99;0;;;7.99;0;;;7.99;0;;;7.99;0;;;7.99;0;;;15.81;0;;;7.99;0;;;0;0;;;7.99;0;;;7.99;0;;;7.99;0;;;0;0;;;7.99;0;;;0;0;;;7.99;0;;;0;0;;;7.99;0;;;0;0;;;7.75;0;;;0;0;;;7.99;0;;;8.95;0;0;0;0;0;0;0D070701;
8106;4;0.08;56.99;0;;;56.99;0;;;56.99;0;;;56.99;0;;;56.99;0;;;65.92;0;;;56.99;0;;;0;0;;;56.99;0;;;56.99;0;;;56.99;0;;;0;0;;;56.99;0;;;0;0;;;56.99;0;;;0;0;;;56.99;0;;;0;0;;;55.28;0;;;0;0;;;56.99;0;;;63.83;0;0;0;0;0;0;0D020401;
8111;15;0.1;26.99;0;;;26.99;0;;;26.99;0;;;26.99;0;;;26.99;0;;;34.66;0;;;26.99;0;;;0;0;;;26.99;0;;;29.99;0;;;26.99;0;;;29.99;0;;;26.99;0;;;29.99;0;;;26.99;0;;;29.99;0;;;26.99;0;;;29.99;0;;;26.18;0;;;29.09;0;;;26.99;0;;;30.23;0;0;0;0;0;0;0D020401;
8123;21;0.1;46.99;0;;;46.99;0;;;46.99;0;;;46.99;0;;;46.99;0;;;54.66;0;;;46.99;0;;;0;0;;;46.99;0;;;46.99;0;;;46.99;0;;;0;0;;;46.99;0;;;0;0;;;46.99;0;;;0;0;;;46.99;0;;;0;0;;;45.58;0;;;0;0;;;46.99;0;;;52.63;0;0;0;0;0;0;0G050701;
8124;0;0;14.99;0;;;14.99;0;;;14.99;0;;;14.99;0;;;14.99;0;;;22.66;0;;;14.99;0;;;0;0;;;14.99;0;;;14.99;0;;;14.99;0;;;0;0;;;14.99;0;;;0;0;;;14.99;0;;;0;0;;;14.99;0;;;0;0;;;14.54;0;;;0;0;;;14.99;0;;;16.79;0;0;0;0;0;0;0D0A0H01;
8140;0;0;7.99;0;;;7.99;0;;;7.99;0;;;7.99;0;;;7.99;0;;;15.81;0;;;7.99;0;;;0;0;;;7.99;0;;;7.99;0;;;7.99;0;;;0;0;;;7.99;0;;;0;0;;;7.99;0;;;0;0;;;7.99;0;;;0;0;;;7.75;0;;;0;0;;;7.99;0;;;8.95;0;0;0;0;0;0;0D070701;
8141;1;0;7.99;0;;;7.99;0;;;7.99;0;;;7.99;0;;;7.99;0;;;15.81;0;;;7.99;0;;;0;0;;;7.99;0;;;7.99;0;;;7.99;0;;;0;0;;;7.99;0;;;0;0;;;7.99;0;;;0;0;;;7.99;0;;;0;0;;;7.75;0;;;0;0;;;7.99;0;;;8.95;0;0;0;0;0;0;0D070701;
8142;20;0;6.99;0;;;6.99;0;;;6.99;0;;;6.99;0;;;6.99;0;;;14.66;0;;;6.99;0;;;0;0;;;6.99;0;;;6.99;0;;;6.99;0;;;0;0;;;6.99;0;;;0;0;;;6.99;0;;;0;0;;;6.99;0;;;0;0;;;6.78;0;;;0;0;;;6.99;0;;;8.06;0;0;0;0;0;0;0D070701;
